Date,BAC return,C return,GS return,MS return,JPM return,WFC return
4/13/2006,0.000218723,0.009453782,-0.000564193,-0.001585289,0.006921241,0.004349177
4/17/2006,-0.005466871,0.006243496,0.015743587,0.010003176,-0.004503437,-0.003093102
4/18/2006,0.01055409,0.002688728,0.022292207,0.031913221,0.014285714,0.009308098
4/19/2006,0.001958225,-0.005156766,0.009060707,-0.007312614,0.000469484,-0.004918537
4/20/2006,0.004994571,0.001451379,0.008979348,-0.002762431,-0.000469263,0.004324992
4/21/2006,0.012748487,-0.006004141,-0.015781667,0.000769468,-0.002347418,0
4/24/2006,0.004267122,-0.00020829,-0.003255169,0.004305705,0.004235294,0.001230391
4/25/2006,0.000424899,-0.01125,-0.015421832,-0.014392895,-0.010777882,-0.00030722
4/26/2006,0.013166277,0.006110409,0.003685504,0.000621407,0.010421601,0.007990166
4/27/2006,0.027876755,0.008376963,0.003488372,0.008694302,0.0302391,0.023780488
4/28/2006,0.017944535,0.037383178,-0.02244313,-0.010312452,0.032536974,0.022930316
5/1/2006,-0.014823718,-0.00980981,-0.023956579,-0.017729393,-0.013221684,-0.010189229
5/2/2006,0.005693371,0.00283057,0.015212528,0.015516149,0.016078607,-0.001764706
5/3/2006,-0.003234937,0.005040323,0.002014733,-0.011225444,-0.000879121,-0.007955215
5/4/2006,0.012981744,-0.009428285,-0.006974552,0.005991801,0.005059393,0.012474012
5/5/2006,0.010612735,0.020048603,0.040179701,0.027115987,0.021011162,0.01026694
5/8/2006,-0.00713295,-0.004169148,-0.005231462,-0.001983824,-0.011789925,-0.007259001
5/9/2006,0.001596488,0.003787879,0.013575491,0.005351682,-0.001735358,-0.001169933
5/10/2006,-0.000398486,-0.000993049,-0.010015083,-0.008212928,-0.002172968,-0.005270864
5/11/2006,-0.009567471,-0.016302187,-0.029313182,-0.014568318,-0.016768293,-0.00677068
5/12/2006,-0.009861139,-0.009902991,-0.019902059,-0.015094927,-0.018383167,-0.004742146
5/15/2006,0.007113821,0.010614411,-0.019025046,-0.019276347,0.004963899,0.007444908
5/16/2006,0.001816347,0.000605938,-0.002873188,-0.000161108,-0.00493938,0.003842743
5/17/2006,-0.021756648,-0.014331853,-0.02940406,-0.033354818,-0.024142599,-0.021201413
5/18/2006,-0.009060956,-0.002047921,-0.007961676,-0.002167028,-0.011791908,-0.012334537
5/19/2006,0.003117207,0.001436487,0.016187173,0.001336452,0.000233973,0.006091989
5/22/2006,-0.000207168,0.000819672,-0.021819155,-0.01284618,-0.002573099,0.008779897
5/23/2006,-0.000621633,-0.006347256,-0.016763599,-0.006760183,-0.011022514,0.003601441
5/24/2006,0.005183496,0.002678755,0.001530967,0.00561511,-0.000474271,0.001794258
5/25/2006,0.008869637,0.008425812,0.023624236,0.011336717,0.016607355,0.00119403
5/26/2006,0.009609487,0.010189525,0.038148249,0.013384641,0.008868145,0.002385212
5/30/2006,-0.013770757,-0.011095421,-0.020334772,-0.024104342,-0.018274347,-0.0148721
5/31/2006,-0.006160164,0.005711954,0.007475138,0.008627982,0.004712535,0.002113527
6/1/2006,0.006198347,0.010750507,0.017224246,0.016101979,0.022045028,0.019282917
6/2/2006,0.011498973,0.006221152,0.00351677,0.000165071,0.00527765,0.007094295
6/5/2006,-0.010556232,-0.010370961,-0.023947044,-0.032018485,-0.019173705,-0.011740534
6/6/2006,-0.004308576,0.002821443,-0.007712766,0.004262575,-0.01373051,0.004752005
6/7/2006,0.006593859,0.003818328,0.004757438,0.004074703,-0.003067485,0.008572273
6/8/2006,0.003684749,0,-0.001267089,-0.002705445,0.002366864,0.014947245
6/9/2006,-0.004894962,-0.003603604,0.000868056,0.003560529,-0.005903188,-0.002021369
6/12/2006,-0.007788481,-0.008840667,-0.032623924,-0.016725798,-0.011876485,0.001157407
6/13/2006,-0.027680231,-0.022704237,-0.039655172,-0.050859107,-0.025721154,-0.030924855
6/14/2006,-0.00913533,-0.00850446,-0.005385996,0.006335988,-0.013816926,-0.00805249
6/15/2006,0.027229846,0.018410042,0.040577617,0.031300594,0.015761821,0.006013229
6/16/2006,-0.01022751,-0.006573541,-0.000832639,-0.005930577,-0.010837438,-0.003885236
6/19/2006,-0.005904682,-0.011166253,-0.001736111,-0.008247061,-0.005229084,-0.0030003
